,Rk,Player,School,Class,Pos,1st,2nd,3rd,Tot,Summary,Year
109,9,Andy Dalton,TCU,SR,QB,4,3,12,30,209 Cmp 316 Att 2857 Yds 27 TD 6 Int,2010
110,10,Owen Marecic,Stanford,SR,RB,3,1,5,16,23 Att 46 Yds 2.0 Avg 5 TD,2010
111,1,Mark Ingram,Alabama,SO,RB,227,236,151,1304,271 Att 1658 Yds 6.1 Avg 17 TD,2009
112,2,Toby Gerhart,Stanford,SR,RB,222,225,160,1276,343 Att 1871 Yds 5.5 Avg 28 TD,2009
113,3,Colt McCoy,Texas,SR,QB,203,188,160,1145,332 Cmp 470 Att 3521 Yds 27 TD 12 Int,2009
114,4,Ndamukong Suh,Nebraska,SR,DL,161,105,122,815,52 Solo 33 Ast 12.0 Sk 1 Int,2009
115,5,Tim Tebow,Florida,SR,QB,43,70,121,390,213 Cmp 314 Att 2895 Yds 21 TD 5 Int,2009
116,6,C.J. Spiller,Clemson,SR,RB,26,31,83,223,216 Att 1212 Yds 5.6 Avg 12 TD,2009
117,7,Kellen Moore,Boise State,SO,QB,10,20,30,100,277 Cmp 431 Att 3536 Yds 39 TD 3 Int,2009
118,8,Case Keenum,Houston,JR,QB,2,9,13,37,492 Cmp 700 Att 5671 Yds 44 TD 15 Int,2009
119,9,Mardy Gilyard,Cincinnati,SR,WR,2,2,13,23,87 Rec 1191 Yds 13.7 Avg 11 TD,2009
120,10,Golden Tate,Notre Dame,JR,WR,2,3,9,21,93 Rec 1496 Yds 16.1 Avg 15 TD,2009
121,1,Sam Bradford,Oklahoma,SO,QB,300,315,196,1726,328 Cmp 483 Att 4720 Yds 50 TD 8 Int,2008
122,2,Colt McCoy,Texas,JR,QB,266,288,230,1604,332 Cmp 433 Att 3859 Yds 34 TD 8 Int,2008
123,3,Tim Tebow,Florida,JR,QB,309,207,234,1575,192 Cmp 298 Att 2746 Yds 30 TD 4 Int,2008
124,4,Graham Harrell,Texas Tech,SR,QB,13,44,86,213,442 Cmp 626 Att 5111 Yds 45 TD 9 Int,2008
125,5,Michael Crabtree,Texas Tech,SO,WR,3,27,53,116,97 Rec 1165 Yds 12.0 Avg 19 TD,2008
126,6,Shonn Greene,Iowa,JR,RB,5,9,32,65,307 Att 1850 Yds 6.0 Avg 20 TD,2008
127,7,Pat White,West Virginia,SR,QB,3,1,8,19,180 Cmp 274 Att 1842 Yds 21 TD 7 Int,2008
128,8,Nate Davis,Ball State,JR,QB,0,1,8,10,258 Cmp 401 Att 3591 Yds 26 TD 8 Int,2008
129,9,Rey Maualuga,USC,SR,LB,2,1,1,9,51 Solo 28 Ast 0.0 Sk 2 Int,2008
130,10,Javon Ringer,Michigan State,SR,RB,1,0,5,8,390 Att 1637 Yds 4.2 Avg 22 TD,2008
131,1,Tim Tebow,Florida,SO,QB,462,229,113,1957,234 Cmp 350 Att 3286 Yds 32 TD 6 Int,2007
132,2,Darren McFadden,Arkansas,JR,RB,291,355,120,1703,325 Att 1830 Yds 5.6 Avg 16 TD,2007
133,3,Colt Brennan,Hawaii,SR,QB,54,114,242,632,359 Cmp 510 Att 4343 Yds 38 TD 17 Int,2007
134,4,Chase Daniel,Missouri,JR,QB,25,84,182,425,384 Cmp 563 Att 4306 Yds 33 TD 11 Int,2007
135,5,Dennis Dixon,Oregon,SR,QB,17,31,65,178,172 Cmp 254 Att 2136 Yds 20 TD 4 Int,2007
136,6,Pat White,West Virginia,JR,QB,16,28,46,150,144 Cmp 216 Att 1724 Yds 14 TD 4 Int,2007
137,7,Matt Ryan,Boston College,SR,QB,9,7,22,63,388 Cmp 654 Att 4507 Yds 31 TD 19 Int,2007
138,8,Kevin Smith,UCF,JR,RB,3,11,24,55,450 Att 2567 Yds 5.7 Avg 29 TD,2007
139,9,Glenn Dorsey,LSU,SR,DL,3,6,9,30,34 Solo 35 Ast 7.0 Sk,2007
140,10,Chris Long,Virginia,SR,DL,1,2,10,17,36 Solo 43 Ast 14.0 Sk 1 Int,2007
141,1,Troy Smith,Ohio State,SR,QB,801,62,13,2540,203 Cmp 311 Att 2542 Yds 30 TD 6 Int,2006
142,2,Darren McFadden,Arkansas,SO,RB,45,298,147,878,284 Att 1647 Yds 5.8 Avg 14 TD,2006
143,3,Brady Quinn,Notre Dame,SR,QB,13,276,191,782,289 Cmp 467 Att 3426 Yds 37 TD 7 Int,2006
144,4,Steve Slaton,West Virginia,SO,RB,6,51,94,214,248 Att 1744 Yds 7.0 Avg 16 TD,2006
145,5,Michael Hart,Michigan,JR,RB,5,58,79,210,318 Att 1562 Yds 4.9 Avg 14 TD,2006
146,6,Colt Brennan,Hawaii,JR,QB,6,44,96,202,406 Cmp 559 Att 5549 Yds 58 TD 12 Int,2006
147,7,Ray Rice,Rutgers,SO,RB,1,16,44,79,335 Att 1794 Yds 5.4 Avg 20 TD,2006
148,8,Ian Johnson,Boise State,JR,RB,1,13,44,73,277 Att 1713 Yds 6.2 Avg 25 TD,2006
149,9,Dwayne Jarrett,USC,JR,WR,1,11,22,47,70 Rec 1015 Yds 14.5 Avg 12 TD,2006
150,10,Calvin Johnson,Georgia Tech,JR,WR,1,8,24,43,76 Rec 1202 Yds 15.8 Avg 15 TD,2006
151,1,Reggie Bush,USC,JR,RB,784,89,11,2541,200 Att 1740 Yds 8.7 Avg 16 TD,2005
152,2,Vince Young,Texas,JR,QB,79,613,145,1608,212 Cmp 325 Att 3036 Yds 26 TD 10 Int,2005
153,3,Matt Leinart,USC,SR,QB,18,147,449,797,283 Cmp 431 Att 3815 Yds 28 TD 8 Int,2005
154,4,Brady Quinn,Notre Dame,JR,QB,7,21,128,191,292 Cmp 450 Att 3919 Yds 32 TD 7 Int,2005
155,5,Michael Robinson,Penn State,SR,QB,2,7,29,49,162 Cmp 311 Att 2350 Yds 17 TD 10 Int,2005
156,6,A.J. Hawk,Ohio State,SR,LB,0,3,23,29,69 Solo 52 Ast 9.5 Sk 1 Int,2005
157,7,DeAngelo Williams,Memphis,SR,RB,1,2,19,26,310 Att 1964 Yds 6.3 Avg 18 TD,2005
158,8,Drew Olson,UCLA,JR,QB,1,2,14,21,242 Cmp 378 Att 3198 Yds 34 TD 6 Int,2005
159,9,Jerome Harrison,Washington State,SR,RB,0,4,12,20,308 Att 1900 Yds 6.2 Avg 16 TD,2005
160,10,Elvis Dumervil,Louisville,JR,DL,0,0,9,9,36 Solo 27 Ast 20.0 Sk 1 Int,2005
161,1,Matt Leinart,USC,JR,QB,267,211,102,1325,269 Cmp 412 Att 3322 Yds 33 TD 6 Int,2004
162,2,Adrian Peterson,Oklahoma,FR,RB,154,180,175,997,339 Att 1925 Yds 5.7 Avg 15 TD,2004
163,3,Jason White,Oklahoma,SR,QB,171,149,146,957,255 Cmp 390 Att 3205 Yds 35 TD 9 Int,2004
164,4,Alex Smith,Utah,SR,QB,98,112,117,635,214 Cmp 317 Att 2952 Yds 32 TD 4 Int,2004
165,5,Reggie Bush,USC,SO,RB,118,80,83,597,143 Att 908 Yds 6.3 Avg 6 TD,2004
166,6,Cedric Benson,Texas,SR,RB,12,41,69,187,326 Att 1834 Yds 5.6 Avg 19 TD,2004
167,7,Jason Campbell,Auburn,SR,QB,21,24,51,162,188 Cmp 270 Att 2700 Yds 20 TD 7 Int,2004
168,8,J.J. Arrington,California,SR,RB,10,33,19,115,289 Att 2018 Yds 7.0 Avg 15 TD,2004
169,9,Aaron Rodgers,California,JR,QB,8,14,15,67,209 Cmp 316 Att 2566 Yds 24 TD 8 Int,2004
170,10,Braylon Edwards,Michigan,SR,WR,3,13,27,62,97 Rec 1330 Yds 13.7 Avg 15 TD,2004
